Bot-Hole Latitude (NAD27),Bot-Hole Longitude (NAD27),Bot-Hole Easting (NAD27),Bot-Hole Northing (NAD27),Well Unique Identifier
55.89783,-116.50955,530670,6194602.9,326
55.88652,-116.79983,512520.9,6193253.2,327
55.88993,-116.79864,512594.2,6193632.9,328
55.88798,-116.69435,519118.5,6193440.7,329
55.8972,-116.8642,508492.3,6194432.2,330
55.89557,-116.86041,508729.6,6194251.3,331
55.87237,-117.12226,492349.7,6191667.8,332
55.81872,-117.32576,479587.2,6185737.4,333
55.86671,-117.41591,473970.3,6191108.8,334
55.86671,-117.41591,473970.3,6191108.8,335
55.85631,-117.38414,475952.6,6189939.8,336
55.85631,-117.38414,475952.6,6189939.8,337
55.85631,-117.38414,475952.6,6189939.8,338
55.85631,-117.38414,475952.6,6189939.8,339
55.87099,-117.41792,473847.4,6191585.9,340
55.87099,-117.41792,473847.4,6191585.9,341
55.8977,-118.00715,437019.3,6194938.2,342
55.88047,-119.61148,336640.1,6195645,343
55.89817,-116.43768,535163.7,6194674.8,344
55.9022,-116.45291,534207.9,6195115.7,345
55.90913,-116.42843,535732.1,6195899.2,346
55.9002,-116.45733,533933.3,6194890.9,347
55.90327,-116.46409,533508,6195229.3,348
55.90075,-116.49587,531523.1,6194934,349
55.90811,-116.5001,531252.7,6195751.2,350
55.91415,-116.41075,536832.5,6196467.1,351
55.92599,-116.3885,538211.6,6197796.8,352
55.9378,-116.36287,539801.6,6199126.7,353
55.93372,-116.44733,534528.8,6198626.3,354
55.93372,-116.44733,534528.8,6198626.3,355
55.93372,-116.44733,534528.8,6198626.3,356
55.93512,-116.4369,535179.1,6198787.4,357
55.9705,-116.5037,530978,6202693.1,358
55.97743,-116.35738,540103.1,6203540.3,359
55.89844,-116.51821,530128,6194667,360
55.90105,-116.52731,529557,6194953.6,361
55.90108,-116.52628,529621.4,6194957.3,362
55.90108,-116.52628,529621.4,6194957.3,363
55.90299,-116.50709,530819.8,6195178.3,364
55.90778,-116.51369,530403.4,6195708.4,365
55.9093,-116.52005,530004.6,6195874.8,366
55.91096,-116.52309,529813.3,6196058.3,367
55.9003,-116.53301,529201.2,6194867.7,368
55.90854,-116.5435,528539.3,6195780.4,369
55.9078,-116.54256,528598.6,6195698.4,370
55.90959,-116.60244,524853.4,6195874.6,371
55.9251,-116.6265,523340.1,6197592.5,372
55.92209,-116.55631,527728.8,6197283.2,373
55.92005,-116.55555,527777.8,6197056.5,374
55.93324,-116.53,529364.6,6198534.9,375
55.93115,-116.52432,529721,6198304.7,376
55.93889,-116.55195,527988.6,6199154.7,377
55.95503,-116.55935,527515,6200948,378
55.96858,-116.59224,525452.5,6202443.5,379
55.97078,-116.51766,530105.8,6202718.1,380
55.93668,-117.13301,491690.3,6198826.3,381
55.96169,-117.30476,480973.1,6201644.2,382
55.95075,-117.59409,462899.7,6200543.7,383
55.90698,-117.76714,452038.9,6195778.1,384
55.90698,-117.76714,452038.9,6195778.1,385
55.98444,-118.0661,433481.7,6204646.8,386
55.93107,-118.81882,386365.3,6199688.4,387
55.97306,-118.85698,384107.2,6204424.4,388
55.97306,-118.85698,384107.2,6204424.4,389
55.97306,-118.85698,384107.2,6204424.4,390
55.97306,-118.85698,384107.2,6204424.4,391
55.97306,-118.85698,384107.2,6204424.4,392
55.96922,-119.44964,347112,6205149.5,393
55.97352,-119.49204,344483.1,6205722.7,394
55.96869,-119.63568,335501.2,6205517.2,395
55.96869,-119.63568,335501.2,6205517.2,396
55.93988,-120.0087,686825.4,6203215.7,397
55.93238,-120.06513,683337.6,6202230.2,398
55.93238,-120.06513,683337.6,6202230.2,399
55.93238,-120.06513,683337.6,6202230.2,400
55.9119,-120.24115,672436.5,6199499.2,401
55.9119,-120.24115,672436.5,6199499.2,402
55.9119,-120.24115,672436.5,6199499.2,403
55.9325,-120.3381,666289.8,6201553.5,404
55.96708,-120.38979,662916.3,6205277.7,405
55.96708,-120.38979,662916.3,6205277.7,406
56.01062,-116.34716,540706,6207240.1,407
56.04506,-116.34755,540645.6,6211072.8,408
